Title,Year,Rating,Rank
Bad Day at Black Rock,1955,7.7,885
Fort Apache,1948,7.4,886
À Nous la Liberté,1931,7.4,887
Zelig,1983,7.7,888
You Only Live Once,1937,7.2,889
Jackal of Nahueltoro,1969,7.6,890
The Spider's Stratagem,1970,6.9,891
Moneyball,2011,7.6,892
Milk,2008,7.5,893
"Two Days, One Night",2014,7.3,894
Foxtrot,2017,7.2,895
Blood Simple,1984,7.5,896
Force of Evil,1948,7.2,897
Never Give a Sucker an Even Break,1941,7,898
The Fall of the House of Usher,1928,7.3,899
The War Is Over,1966,7.3,900
Wild River,1960,7.5,701
The Letter,1940,7.5,702
